Income,Credit_Score,Debt,Zip_Code,Credit_Card_Eligibility
58044,391,43406,12064,0
22568,327,49781,61567,0
22027,324,47743,40011,0
22695,357,34853,81152,0
25258,596,48325,83511,0
42002,433,33148,20960,0
59504,548,46243,68920,0
53159,337,37933,31387,0
33986,374,39436,25324,0
32666,441,47669,73960,0
58660,467,36474,81779,0
23561,558,44679,42628,0
46854,524,41228,85096,0
58952,451,30770,57452,0
42662,318,31843,51098,0
28392,445,30073,80459,0
50535,540,48044,49235,0
33067,536,46059,96861,0
43599,334,38000,37949,0
55222,489,43273,32821,0
31837,300,46121,81612,0
34039,452,30331,32032,0
50818,425,47805,83537,0
39115,525,37512,25303,0
30965,520,34931,91993,0
44538,510,42742,22303,0
25056,324,43426,60701,0
52482,315,35113,60511,0
28110,481,38419,90664,0
33773,428,32881,28280,0
47266,341,43145,49427,0
37412,535,43556,16967,0
53270,333,49249,16661,0
26910,344,32575,87952,0
45446,433,42714,76046,0
20206,320,36185,45200,0
41518,421,38656,77442,0
42361,369,35741,71671,0
43419,347,46661,68168,0
42403,338,30065,58322,0
38141,586,34262,91984,0
34820,309,35704,47696,0
26374,329,45355,80246,0
21678,543,38594,48892,0
53827,573,42175,25583,0
36198,387,42696,92720,0
29914,543,36255,65215,0
47890,314,37441,34853,0
42299,303,44986,16109,0
22693,490,43350,69757,0
49467,467,44440,16659,0
49723,308,37960,11238,0
23627,408,47821,25064,0
45939,436,49762,41115,0
41834,453,43665,41952,0
38047,508,36629,15620,0
46105,571,43828,54258,0
30230,442,34541,14470,0
35707,398,37876,32003,0
41976,368,43311,37571,0
43776,546,44588,34668,0
50080,560,46648,87259,0
21306,575,42380,42046,0
26776,378,39877,80977,0
47251,445,47818,87255,0
29474,410,35097,15397,0
41959,557,48044,93481,0
25530,392,48738,32233,0
49320,312,36461,93336,0
23748,559,37044,70308,0
51968,408,35497,79726,0
52562,488,43751,73219,0
33545,394,39304,11130,0
20663,404,40426,24071,0
54766,307,41058,95517,0
27994,366,41260,12118,0
48021,490,48563,10663,0
50303,555,30634,72408,0
23304,308,40057,61786,0
59353,416,43345,91271,0
37675,566,40147,29158,0
43938,398,48602,41087,0
43664,597,31389,98114,0
21636,463,43071,63121,0
40080,440,41322,29874,0
47728,567,34276,93443,0
46736,336,42306,50821,0
48673,373,31249,70582,0
57505,372,47629,32787,0
20854,498,38245,74703,0
44548,429,41102,31705,0
58623,545,46226,79381,0
27392,359,40588,54653,0
41556,578,30442,92018,0
58559,402,36976,96217,0
46309,595,34675,42252,0
41919,450,41803,83332,0
24931,456,37953,82799,0
52970,505,34377,72185,0
32688,478,40599,88313,0
45342,496,37058,51538,0
57157,522,47206,30343,0
22327,388,41894,90398,0
20197,586,32939,51232,0
43509,575,31031,63106,0
54698,535,40208,91227,0
35087,482,30562,63079,0
42671,508,40730,35028,0
45184,429,46724,52135,0
47848,452,46152,41066,0
40666,312,43998,93470,0
35708,421,48680,30910,0
46370,519,46618,17141,0
22811,405,39308,55950,0
26546,369,39609,65723,0
54754,494,47675,26225,0
50206,485,38720,97123,0
31411,398,40172,42959,0
22911,381,44457,59192,0
21734,374,32939,89711,0
38227,491,44345,20051,0
28680,513,46158,81428,0
39360,443,35435,13449,0
38343,515,35392,51095,0
25759,314,37972,87929,0
43078,516,47617,39190,0
55153,334,49184,36141,0
31111,482,44799,33908,0
57504,569,49159,42322,0
21802,399,45052,60710,0
28155,306,36044,24012,0
28120,329,49871,44889,0
59384,443,44415,27412,0
41918,410,47274,34657,0
40445,531,43858,15656,0
50306,478,47572,18967,0
36646,371,35644,94958,0
51065,509,47124,25764,0
45199,519,47753,25873,0
36371,379,48384,61030,0
31835,382,47855,77807,0
22049,341,47920,11607,0
51616,572,46702,29523,0
58191,490,35153,58447,0
40932,472,31894,59757,0
49855,306,37991,79201,0
27158,454,45439,91844,0
27400,309,39467,81388,0
35151,333,35935,15462,0
21154,335,47107,41795,0
24499,305,32329,79806,0
26295,514,39327,58465,0
32183,433,32770,71109,0
49299,584,34846,60528,0
32874,425,46651,46230,0
52711,473,46276,58242,0
25539,451,44633,75883,0
22557,325,43628,11783,0
58360,414,30569,38390,0
36482,583,31973,18417,0
22200,374,32822,82102,0
22961,465,30270,27426,0
41357,488,46320,40750,0
31969,377,37641,68188,0
22869,389,38930,20872,0
48643,475,36680,58086,0
44736,320,31257,76770,0
58467,353,38250,93514,0
43328,483,35370,98177,0
45876,521,34858,44720,0
41295,478,38581,28079,0
23987,575,43491,27338,0
42399,411,42436,13291,0
53986,523,42870,84084,0
40880,513,46504,59393,0
24735,358,36908,79770,0
24555,408,40844,36720,0
39830,456,48687,23368,0
37429,490,34861,64313,0
26893,499,32911,57969,0
34373,495,38991,58838,0
23436,334,41572,18734,0
28754,545,40298,22197,0
30677,536,37236,78895,0
25895,403,35565,66831,0
39738,306,47493,68073,0
50746,582,36929,82925,0
52352,300,47634,90488,0
59790,518,48033,94475,0
25600,529,37351,60302,0
49124,471,49340,25624,0
47643,386,44901,77271,0
29007,340,40638,34315,0
57410,422,35828,27422,0
28208,597,41556,49137,0
38589,477,48099,82663,0
37453,362,38150,58232,0
56212,464,40107,88142,0
52635,486,49867,42743,0
53828,508,31757,25636,0
38711,526,48193,20108,0
23420,347,41199,83634,0
51216,523,46295,46180,0
20301,302,42807,28883,0
20699,474,47535,54400,0
20190,398,35492,55999,0
30492,415,36302,57951,0
55743,569,45929,17160,0
26102,552,34747,65262,0
39778,394,44238,29929,0
46641,572,38402,93133,0
54584,323,40686,21123,0
52745,415,34681,38357,0
43093,450,48891,80496,0
20569,349,49347,43556,0
58210,505,33428,93791,0
54663,378,37494,71934,0
56631,369,33955,88886,0
27455,326,44026,40881,0
24014,570,39244,28409,0
31093,349,30713,65416,0
38070,591,41080,77982,0
55777,546,38521,40657,0
36538,563,31746,96743,0
30729,378,47591,58951,0
54177,489,47168,18752,0
20784,346,32696,23440,0
47751,488,42012,54864,0
32533,555,44688,59691,0
59974,521,35036,82035,0
25801,540,37127,96675,0
39190,568,33718,90303,0
58754,300,37910,32343,0
49592,333,32693,29673,0
30647,378,47009,69954,0
28716,535,45858,64698,0
43355,397,45932,36520,0
42009,381,37692,25784,0
44376,491,36398,48079,0
24780,552,37252,54220,0
22368,337,41721,30491,0
32039,313,47939,58720,0
26655,508,41825,24718,0
24495,388,34187,45597,0
30893,355,30036,71217,0
45547,393,48171,36832,0
42386,392,36283,64818,0
33403,384,45202,22864,0
52097,544,38060,98378,0
33121,321,38065,18177,0
30966,590,33880,56115,0
53621,571,35932,66210,0
48312,421,38328,61954,0
42677,427,36333,21844,0
51289,412,43870,84130,0
51024,572,41268,23418,0
24777,429,35067,44854,0
49749,431,45616,98644,0
35338,384,42075,85955,0
22491,380,47045,98075,0
47236,368,37973,53950,0
34599,447,40002,75227,0
39508,315,37887,22835,0
23051,404,30414,27533,0
41606,464,36850,97858,0
41699,500,32729,20223,0
20876,496,41929,20273,0
52093,484,44988,43519,0
24142,564,33897,34160,0
35202,399,32169,84385,0
59734,513,43563,58988,0
27079,577,48262,20348,0
27987,461,42888,93460,0
59567,456,34570,77519,0
48940,550,31515,24629,0
57233,396,46958,59056,0
37019,317,42634,21273,0
38077,396,49251,50416,0
46258,300,43798,17894,0
41136,515,49928,56073,0
28311,431,34477,55693,0
37214,559,46455,61466,0
34098,424,49364,34343,0
48251,381,39551,53095,0
57945,582,44179,41174,0
45945,470,30039,60801,0
45316,358,40222,82436,0
52217,331,46116,79336,0
28308,460,48284,52926,0
25949,583,48601,82590,0
21150,405,46049,48827,0
43944,404,34796,54775,0
54699,527,34606,51201,0
29204,487,47667,39373,0
21081,369,38775,37525,0
49305,589,44864,82651,0
36896,386,44193,40486,0
27805,355,44676,88604,0
25237,412,40457,28640,0
40056,312,47199,71455,0
23343,317,46044,46136,0
33500,481,45066,72425,0
49375,412,48895,66539,0
29662,528,30246,91664,0
36964,470,36516,34942,0
28130,594,46800,78363,0
39531,488,43342,68596,0
21679,378,46491,91526,0
23506,445,39030,45255,0
33284,481,31421,72129,0
27253,585,42970,95523,0
39128,549,37283,72286,0
47932,495,45945,96437,0
29435,370,30255,26277,0
33296,547,41019,11643,0
50445,445,45487,33729,0
33245,405,39029,96623,0
49124,562,49346,31818,0
49899,595,32282,75555,0
55247,369,38744,63629,0
49222,492,47861,65438,0
46211,367,39919,19457,0
57220,351,43335,69629,0
46646,584,30591,43922,0
58649,308,36277,19820,0
43049,550,32260,42750,0
34069,597,41139,47790,0
52580,483,30347,98405,0
51843,478,34443,44421,0
22849,497,41088,78038,0
43289,427,38774,92201,0
55257,319,36869,72325,0
29823,364,49422,35600,0
29540,481,32845,39394,0
36364,540,42386,89622,0
24611,323,31265,46171,0
47663,382,42445,71526,0
58646,484,42938,23149,0
50977,398,41159,40394,0
49168,361,32274,24396,0
45471,585,48854,33324,0
42687,321,40482,57198,0
20851,511,48961,92705,0
38071,425,31068,41016,0
26833,341,44706,13194,0
31938,397,35974,42398,0
55195,330,40928,14789,0
46144,457,31950,95695,0
24000,411,49477,74967,0
25052,546,40411,71134,0
55506,421,43388,80886,0
48074,572,47771,34977,0
58155,593,34274,10129,0
52320,506,32285,69683,0
58304,409,49590,55331,0
23913,577,49308,44626,0
37450,355,37045,58503,0
44107,356,31618,37549,0
40764,590,40979,22342,0
40491,413,38562,46417,0
58494,497,42026,86514,0
23373,478,37843,62249,0
32161,518,39895,62664,0
51996,576,41966,18833,0
47122,315,47732,70658,0
54850,360,35289,39473,0
47350,353,48806,10737,0
47472,467,48812,56647,0
48761,325,33033,74054,0
45351,364,38860,11299,0
43132,399,37813,73281,0
35305,373,47798,75875,0
29817,491,43860,42920,0
31261,470,44294,64836,0
20417,572,33621,52381,0
40358,486,47138,94971,0
23267,322,32347,66298,0
37209,480,44882,34509,0
44052,407,47110,52095,0
58513,461,34923,61524,0
46092,505,49033,76909,0
31338,377,45611,82618,0
20412,315,45367,35532,0
27543,395,49199,70285,0
53496,446,39066,28866,0
43548,301,33279,17593,0
47384,309,49368,19495,0
58756,424,33807,17837,0
38888,380,43965,86708,0
55735,439,46123,28680,0
37506,449,46991,65476,0
40463,587,30634,40346,0
37955,428,42771,33412,0
57841,538,47458,98399,0
25104,357,48298,40804,0
54911,497,44340,75206,0
43190,510,30588,20934,0
27357,344,33231,40723,0
52479,396,36351,30405,0
56208,578,33838,28748,0
40150,322,31973,80766,0
25644,343,44346,56413,0
22914,326,35044,32354,0
41352,581,40247,84490,0
34397,396,41672,98675,0
20728,335,40271,27388,0
20698,408,36683,46523,0
59954,354,41244,67693,0
33923,491,36783,45732,0
36779,518,35594,51646,0
27400,484,33822,31021,0
44466,368,33389,62776,0
56939,429,35914,29116,0
24360,354,48164,82009,0
55270,396,33688,98271,0
37101,386,44683,86620,0
52307,593,43080,54771,0
25486,418,39916,38756,0
28335,507,35037,92604,0
41364,453,43453,12919,0
57259,334,38640,33550,0
43576,378,30081,46524,0
51667,366,36278,64606,0
31130,333,46078,78819,0
41972,396,45536,80227,0
21167,468,47790,33212,0
47192,468,37410,50118,0
21062,450,45926,38602,0
38540,370,45500,27540,0
44244,302,31480,45829,0
41545,331,39271,66309,0
41689,586,33598,75403,0
31174,381,45032,81455,0
42925,342,37993,32277,0
57497,404,40895,69673,0
29348,300,45367,27676,0
43714,360,37644,52844,0
58102,569,41948,74708,0
28924,479,48142,19752,0
57098,523,32599,91548,0
44394,305,35813,84711,0
26801,402,33853,50670,0
57614,309,48676,77603,0
26731,370,31501,41478,0
43625,389,38422,36439,0
37337,525,37550,44747,0
55307,457,34250,39810,0
27056,527,36991,28302,0
31516,425,46498,76236,0
21542,508,34406,74467,0
41677,396,48731,44841,0
59081,373,31041,54713,0
47569,414,36927,59546,0
43322,490,46395,13048,0
39065,469,37871,43290,0
37924,503,36375,68906,0
42556,355,33676,86637,0
46962,507,43017,39778,0
48295,340,33065,37425,0
33807,331,32036,93388,0
46432,314,33046,68176,0
37749,361,46924,22674,0
46256,454,30076,72402,0
57080,583,49451,98731,0
21324,508,45880,99907,0
45731,486,46407,43053,0
55909,429,47059,21957,0
43803,426,34267,82644,0
39870,591,35988,63616,0
54578,413,38680,27829,0
26588,498,31485,15837,0
58069,312,44713,74141,0
46790,570,32419,25032,0
45289,388,45312,36352,0
48178,514,33495,40215,0
48710,577,47140,66319,0
35485,502,40716,84642,0
40652,373,42442,51247,0
24748,324,48163,53048,0
41233,400,42961,85532,0
29435,475,40307,76714,0
23709,416,36487,45319,0
50355,465,39664,26025,0
33116,340,46360,19780,0
45470,419,46642,32706,0
59298,396,34075,52916,0
34683,444,47502,85503,0
20504,515,45285,40856,0
53982,528,37631,19179,0
54299,429,33017,48623,0
48016,436,48042,27587,0
43960,572,48181,33733,0
53591,416,30784,98306,0
37312,393,35691,13975,0
57797,467,45765,88455,0
22105,502,33196,85138,0
56395,448,39552,55463,0
42700,482,38532,52154,0
54620,451,46946,85676,0
57678,373,34746,96706,0
40559,573,32999,38830,0
47509,341,47577,82126,0
47860,511,41302,56745,0
31003,400,46452,40609,0
41732,344,45595,27401,0
45826,381,48812,37729,0
50354,316,36200,55167,0
33843,372,35396,67391,0
26190,313,43410,68171,0
37640,456,43203,98096,0
58413,522,33598,16647,0
23330,431,40564,31106,0
39087,346,42748,16015,0
44504,406,46957,31506,0
27114,407,37636,34067,0
33323,564,47862,12056,0
54121,504,40265,39328,0
30975,378,39705,87712,0
31023,454,44298,62832,0
41447,570,48580,52771,0
44933,546,39703,96805,0
43959,318,43336,56515,0
20667,325,38166,74538,0
49703,516,46116,78650,0
29337,453,36050,88978,0
56487,453,41184,50151,0
39129,473,42712,11629,0
51921,391,38484,93463,0
53307,480,32593,99432,0
47355,430,40315,38155,0
57732,597,45200,28288,0
24835,574,39107,60588,0
40159,572,33869,96951,0
58810,375,45447,46085,0
58088,476,37971,21251,0
33216,483,32989,35574,0
55547,430,35340,19623,0
51471,348,39643,96472,0
37308,354,33823,64715,0
47532,453,43454,16123,0
54349,499,33932,13061,0
25713,417,40220,49095,0
24804,562,38554,69618,0
30136,345,32429,38451,0
20009,488,37444,91897,0
39255,428,40510,91443,0
43793,348,41277,44814,0
49548,324,40537,95141,0
57892,565,37147,86868,0
21015,417,37631,47832,0
47712,443,33598,19445,0
54961,499,34329,43490,0
28415,456,36718,39767,0
43833,433,39923,56057,0
24158,447,43782,90746,0
40309,370,46476,99695,0
26970,532,30051,83100,0
26938,598,46702,51043,0
41168,453,40184,96755,0
40384,389,42468,37946,0
38017,498,45479,46587,0
30344,460,37210,13364,0
28702,325,42934,79854,0
20384,420,33956,66088,0
20404,511,36057,87015,0
49189,362,41210,17398,0
32763,367,44590,12452,0
38384,552,43864,97208,0
52606,301,31525,43193,0
29860,407,43277,89401,0
58757,585,37043,35345,0
35106,348,47662,95895,0
43574,439,38705,84335,0
43524,517,36125,69196,0
23636,343,37874,33053,0
30916,568,42529,93220,0
24809,377,44955,15015,0
52201,515,32500,18657,0
33456,397,33464,61116,0
58765,535,48643,31951,0
54816,581,45954,36521,0
37100,448,49043,64431,0
41949,365,30255,20731,0
24544,533,31502,28744,0
57744,386,34656,73094,0
46657,378,40302,28423,0
56187,504,35430,27568,0
27239,578,38598,57411,0
34489,553,49560,13934,0
48538,429,45976,86945,0
52049,383,31860,18172,0
57131,575,36158,37358,0
28427,486,35806,76313,0
44285,345,47106,29763,0
57626,482,39474,58673,0
42928,567,46997,95997,0
39198,595,49715,77975,0
39758,399,35790,17804,0
35254,377,49500,57594,0
21252,571,40170,88748,0
59764,461,39004,97189,0
32173,343,39978,97507,0
57441,537,46714,77525,0
46698,433,48596,83404,0
35781,491,37232,34604,0
33051,577,42674,32135,0
59649,317,46052,47918,0
26949,311,45774,60849,0
28017,479,35913,40847,0
26941,422,44102,53774,0
45934,545,45389,70709,0
43386,521,40567,20680,0
30209,350,35611,65037,0
37715,370,39432,68914,0
48920,347,30319,36309,0
51703,318,42686,20349,0
24637,561,34791,85079,0
24854,383,30329,70820,0
57660,454,38851,84996,0
59811,352,41310,44553,0
39856,406,40164,38525,0
41833,434,48177,15948,0
39963,368,35703,24498,0
56932,310,40649,28991,0
47169,442,42672,69790,0
27941,491,34155,17660,0
34388,368,32611,36245,0
25569,322,48977,10238,0
24300,480,46479,29920,0
59037,592,39180,56659,0
56586,308,39304,84874,0
32015,570,44610,52517,0
26254,392,38437,85885,0
37144,316,40350,56350,0
44214,453,42521,87179,0
35183,448,49733,38274,0
26238,566,36560,55013,0
26090,405,35247,49913,0
31637,334,34077,55819,0
42415,418,40858,92168,0
44071,313,41391,87857,0
38271,313,40946,74910,0
56034,565,45186,33485,0
53434,439,31417,12860,0
24188,593,46494,59875,0
30161,418,38954,24919,0
48732,537,43591,83947,0
31314,333,37391,19586,0
43954,468,41364,61986,0
41508,309,40371,99848,0
41969,421,32504,33055,0
57545,444,35239,44890,0
56668,522,46676,73081,0
43061,556,48118,38807,0
33716,567,35120,95920,0
59749,303,36393,57177,0
59144,405,32196,78625,0
36907,384,33466,24242,0
38777,513,31906,66317,0
47693,420,48105,49978,0
46329,431,41883,26433,0
36282,496,45437,43282,0
43624,318,44497,86519,0
43321,429,31816,53578,0
30488,311,40713,80207,0
42574,380,33849,34133,0
25240,561,36849,60317,0
30478,424,31058,75950,0
39262,566,41730,69612,0
24432,439,48706,74873,0
49721,301,47332,96778,0
33568,307,34359,72002,0
34178,549,42809,62508,0
42195,438,35660,48379,0
20302,423,37254,25231,0
37022,527,42822,97385,0
20055,309,32093,51163,0
28717,511,41730,41676,0
48699,411,47947,97592,0
28150,307,38217,95483,0
22125,591,46558,65535,0
36748,552,47718,56110,0
59577,313,46705,56978,0
24621,539,42342,82369,0
35034,541,42239,14752,0
25126,448,43854,34507,0
25122,535,43897,95705,0
38030,466,41419,51495,0
37302,319,40064,70886,0
39181,515,45003,80559,0
58638,434,40259,10982,0
21531,428,35674,89841,0
43333,593,35002,26146,0
59650,545,30910,64843,0
54674,488,30949,86737,0
55854,343,48898,92446,0
28152,385,41523,98567,0
58518,343,41221,33636,0
30267,444,46484,92850,0
45289,350,34646,37332,0
21062,541,36945,61434,0
49926,593,32400,93866,0
26229,350,41563,71271,0
24632,565,48727,72726,0
59056,419,30352,90901,0
23596,499,49339,20108,0
26168,547,45489,78896,0
27561,369,31018,52553,0
28258,356,47563,50880,0
36616,338,35193,62077,0
46734,588,45701,13625,0
26371,317,33536,48237,0
46069,519,45449,11223,0
34369,543,41842,69303,0
32910,597,48886,75197,0
27943,582,33819,84693,0
32199,373,47363,47760,0
35728,409,30976,89182,0
43275,479,48664,67966,0
26738,331,35897,39024,0
35913,533,45957,80323,0
55240,581,45359,33202,0
39123,324,43240,61524,0
54529,578,30107,53908,0
30167,525,45524,46067,0
30554,356,31626,19360,0
37260,479,36229,22941,0
23812,531,36877,25993,0
48024,586,30874,24620,0
47285,363,35543,30193,0
46900,531,33809,61559,0
21605,588,40603,31248,0
25622,512,32107,55852,0
26767,557,41745,15027,0
47139,317,39465,73410,0
31613,474,30559,14260,0
30589,528,38308,47596,0
33918,525,45250,19012,0
40119,383,43255,35823,0
47446,590,33046,83851,0
33046,545,43856,57027,0
44818,409,46427,88167,0
55358,553,30508,93794,0
24324,387,36107,35099,0
30787,371,43476,46992,0
29111,329,33439,20977,0
58110,471,43136,66234,0
36389,476,44167,57376,0
34043,438,47300,43978,0
48746,493,47182,19218,0
42350,485,34971,31788,0
20117,517,48144,30501,0
38935,463,49659,87989,0
33234,460,45883,25210,0
58328,312,30818,84225,0
20846,595,40360,55489,0
30954,388,41927,73721,0
33703,341,46023,52653,0
42700,509,33065,96678,0
52043,528,33259,50950,0
26469,574,47290,18916,0
50105,578,42300,75911,0
46386,550,30602,41449,0
56976,507,34295,99333,0
59051,439,39983,30782,0
22048,579,33527,30243,0
59001,333,31811,39379,0
32941,317,42103,47780,0
21828,356,39032,40740,0
21917,411,42877,29984,0
40618,304,37963,10050,0
52254,481,45224,16590,0
59756,312,38916,50205,0
40128,584,36766,25162,0
20009,558,47186,59746,0
36644,389,48966,23105,0
42422,403,31665,47499,0
29865,485,45932,46641,0
22219,549,36975,21628,0
59809,554,32552,52032,0
25287,375,43219,75029,0
54387,407,44274,48516,0
28512,455,42612,97157,0
21342,381,32808,11476,0
39216,376,41090,50800,0
47534,557,42260,45788,0
34231,426,45295,99973,0
52293,581,44837,36240,0
46614,387,44669,20922,0
56258,503,40523,74198,0
48253,315,42762,68739,0
37988,450,43769,83602,0
51037,553,43731,22089,0
32219,487,41877,42600,0
20235,331,32456,56176,0
21908,570,35423,18167,0
28567,304,44246,88352,0
56298,468,42846,31164,0
25256,480,34317,95965,0
39019,477,47940,41415,0
28162,442,48589,83653,0
25415,547,42635,81895,0
56159,426,43470,89900,0
25951,562,43176,85829,0
41852,339,39113,68650,0
28007,554,43546,68981,0
50523,442,36805,84868,0
43325,539,46788,10615,0
41204,527,48004,55612,0
35524,497,49336,87937,0
39282,364,38080,51936,0
43930,310,33118,39372,0
20077,407,36630,77875,0
40611,325,30565,91782,0
36984,450,45701,71700,0
34060,520,44859,18109,0
37449,536,37670,33758,0
38520,536,49252,98627,0
29510,518,39476,23317,0
49287,450,38776,92298,0
48173,422,45021,79001,0
59711,443,34327,61423,0
31954,488,45275,35622,0
27804,554,37614,16800,0
26565,367,31245,45539,0
25984,403,38243,12600,0
41526,458,40355,81054,0
57438,599,30537,95163,0
38574,389,45924,39369,0
29184,555,46236,26689,0
39096,519,46924,91459,0
22192,308,47198,48469,0
54016,311,31415,10958,0
31246,543,41030,70012,0
38381,481,31652,79074,0
56455,583,40857,70021,0
46727,398,48740,98940,0
24018,496,33810,60782,0
31302,525,46569,85519,0
21970,402,31551,69315,0
47202,405,43584,34642,0
51110,357,30761,89003,0
37586,377,42511,10205,0
44519,374,39471,22442,0
51273,341,42467,15691,0
41951,480,36163,48909,0
35374,332,46065,29504,0
25788,370,41886,74270,0
25408,355,49665,68051,0
45053,404,47920,48798,0
29446,499,36201,59330,0
20922,400,49548,97087,0
53187,555,45580,88919,0
30789,373,49154,92032,0
52184,470,37399,51716,0
21120,442,49819,84624,0
52154,465,46945,56982,0
37334,560,37623,37444,0
22336,520,40327,34734,0
58141,382,37187,51745,0
22243,481,32180,44571,0
39029,309,31960,25389,0
52265,303,35153,94218,0
57380,591,37035,55038,0
43710,580,41471,82795,0
49486,514,49654,55168,0
26371,397,30582,88082,0
26359,400,45514,77690,0
55996,308,45531,84302,0
40103,360,46672,21230,0
34382,445,37979,93301,0
38755,362,33060,15902,0
55659,420,43731,76758,0
23756,525,42294,37050,0
40609,404,47567,84586,0
36478,559,44274,79110,0
55442,554,47830,86693,0
59666,506,46348,29575,0
30147,327,31903,68940,0
53561,469,44551,50244,0
54884,375,45141,93481,0
25779,415,32377,24962,0
32298,368,30847,87332,0
34153,533,44380,34450,0
30789,300,47623,63494,0
32999,466,39524,55037,0
20814,517,45231,93040,0
30541,572,41698,40041,0
44938,550,40571,20715,0
22443,473,42314,31803,0
30457,469,41429,78906,0
30380,545,32365,71726,0
27783,389,40604,11908,0
37368,348,41366,47075,0
35328,593,35055,74587,0
46215,449,35622,63648,0
53595,431,46756,31134,0
47306,358,37783,66143,0
39915,498,31949,79123,0
59915,514,46628,55153,0
57219,348,40032,12413,0
35343,531,41619,32555,0
58727,546,46508,20952,0
20126,538,42824,78993,0
47632,467,40945,84000,0
40530,347,31919,76686,0
59964,350,39827,42264,0
23368,598,39617,57553,0
23797,397,39732,64359,0
33718,515,30530,19808,0
54560,476,37849,62330,0
31053,379,36929,48345,0
42116,484,34349,79617,0
56244,326,44456,49222,0
56185,494,41295,67755,0
21645,513,48185,18933,0
39256,413,35156,78207,0
55840,541,39228,53739,0
54622,423,41920,57738,0
57430,375,37432,94544,0
59282,495,42203,31883,0
22708,343,36189,53401,0
31694,485,31142,25380,0
29524,545,37614,28212,0
51880,383,44253,38174,0
59224,506,48013,16861,0
56980,450,47146,16094,0
52409,455,36905,61319,0
33224,315,34889,56728,0
45150,464,34839,34363,0
54393,444,33957,97846,0
27973,336,30557,49300,0
28577,344,34621,64808,0
28070,505,44932,15943,0
28666,361,30839,90105,0
56368,318,39243,52616,0
26783,599,39596,84329,0
24971,306,36998,35287,0
33490,548,40129,43971,0
21990,416,30510,66152,0
25299,367,41596,52351,0
39956,333,42974,70040,0
42359,493,31137,98559,0
57148,354,43700,70616,0
48734,565,34666,33897,0
24757,341,38906,33010,0
39097,596,40478,50154,0
30395,530,32654,30114,0
36241,309,30990,29050,0
58356,427,32160,31125,0
47696,478,45136,60396,0
24944,492,40336,54846,0
39816,391,44269,30396,0
57011,530,46206,98116,0
44917,377,32063,48973,0
51195,384,40795,33574,0
41566,329,48361,23869,0
29916,512,38567,76194,0
40806,348,38933,72167,0
29984,564,49051,66147,0
21759,444,45619,22122,0
46838,368,34919,53827,0
22482,357,41741,23335,0
44442,484,38798,73576,0
53719,361,46927,31677,0
47965,595,44566,38223,0
22079,465,30883,39814,0
22717,470,39415,93611,0
47952,362,41085,53185,0
40908,446,45008,86794,0
44861,460,48452,85675,0
27311,440,38120,52325,0
48071,396,37820,50503,0
43570,520,41901,29514,0
38449,342,48170,66196,0
53536,591,46259,30917,0
58258,407,39649,64699,0
48865,565,38269,60119,0
26645,394,41805,93324,0
58000,561,47692,35061,0
46737,370,40379,19947,0
31485,518,38744,91080,0
58565,320,43285,95550,0
45522,391,38473,90331,0
32342,426,40679,42632,0
33087,379,44605,29352,0
57641,537,40985,33653,0
54249,481,42391,77115,0
30093,324,34861,53755,0
36438,455,49160,81988,0
46399,304,31596,47921,0
39846,419,46863,69003,0
